,class Names,truncatation,occlusion,alpha,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rotation_y
29910,Pedestrian,0.00,2,1.45,522.07,133.81,546.01,198.20,1.95,0.63,0.74,-2.22,0.53,21.87,"1.36
"
29911,Pedestrian,0.00,1,1.50,544.46,143.30,557.80,199.99,1.71,0.60,0.52,-1.54,0.59,21.67,"1.43
"
29912,Pedestrian,0.00,0,1.30,580.50,145.14,598.75,199.06,1.59,0.46,0.67,-0.49,0.55,21.25,"1.28
"
29942,Pedestrian,0.00,0,2.96,599.57,151.03,704.57,369.38,1.82,0.94,1.09,0.33,1.57,6.55,"3.00
"
29943,Pedestrian,0.11,0,3.07,357.70,177.99,446.70,373.00,1.64,0.80,0.99,-1.72,1.62,5.94,"2.80
"
29944,Pedestrian,0.10,0,-0.64,979.76,179.53,1089.10,373.00,1.48,0.92,0.92,3.19,1.47,5.49,"-0.14
"
29955,Pedestrian,0.00,1,-0.21,748.97,179.52,770.97,241.22,1.78,0.53,0.95,4.45,1.99,21.24,"-0.01
"
29996,Pedestrian,0.23,0,1.60,17.70,193.32,165.88,374.00,1.62,0.89,0.52,-3.99,1.79,5.54,"1.00
"
30017,Pedestrian,0.00,1,-1.61,183.49,149.00,198.82,196.47,1.99,0.73,0.53,-17.53,0.67,30.06,"-2.13
"
30018,Pedestrian,0.00,0,2.22,35.84,144.80,80.43,247.34,1.88,0.71,1.28,-10.54,1.22,13.64,"1.57
"
30019,Pedestrian,0.00,0,2.00,216.97,154.24,242.39,214.33,1.91,0.66,0.99,-12.18,1.08,23.12,"1.52
"
30020,Pedestrian,0.00,0,1.93,190.09,150.42,212.84,211.51,1.93,0.73,0.96,-13.00,0.98,22.88,"1.42
"
30021,Pedestrian,0.00,1,0.48,733.32,150.13,796.34,316.64,1.89,0.87,1.09,1.94,1.54,8.70,"0.69
"
30022,Pedestrian,0.00,0,0.57,769.92,150.22,831.53,306.09,1.89,0.88,1.00,2.59,1.52,9.22,"0.84
"
30023,Pedestrian,0.00,1,0.36,865.47,140.09,947.41,321.09,1.89,0.88,1.13,3.20,1.47,8.08,"0.73
"
30024,Pedestrian,0.00,0,0.35,860.67,145.33,949.79,349.48,1.84,0.79,1.03,3.02,1.53,7.02,"0.74
"
30091,Pedestrian,0.00,2,-1.15,259.82,162.30,301.52,298.45,1.83,0.60,0.39,-4.61,1.70,9.94,"-1.57
"
30092,Pedestrian,0.00,2,-1.20,315.52,166.86,338.99,270.92,1.81,0.34,0.32,-5.09,1.71,12.76,"-1.57
"
30095,Pedestrian,0.00,2,-1.21,321.17,174.71,347.21,281.86,1.78,0.40,0.43,-4.68,1.82,12.25,"-1.57
"
30097,Pedestrian,0.00,2,1.00,1035.35,129.76,1064.35,218.87,1.80,0.61,0.94,9.51,0.77,14.81,"1.56
"
30182,Pedestrian,0.00,2,-1.30,420.82,173.17,440.60,253.61,1.83,0.60,0.39,-4.18,1.85,16.68,"-1.54
"
30183,Pedestrian,0.00,2,-1.34,439.36,172.68,450.04,239.16,1.81,0.34,0.32,-4.57,1.81,19.89,"-1.56
"
30186,Pedestrian,0.00,2,-1.35,439.92,177.17,454.14,244.91,1.78,0.40,0.43,-4.32,1.90,19.24,"-1.57
"
30207,Pedestrian,0.00,0,1.79,460.02,177.18,473.21,207.87,1.87,0.96,0.65,-8.90,2.15,44.63,"1.59
"
30228,Pedestrian,0.00,0,0.49,128.50,149.49,211.16,324.26,1.82,0.74,0.95,-4.73,1.50,7.78,"-0.04
"
30310,Pedestrian,0.00,0,-1.45,577.10,163.10,596.10,222.73,1.73,0.84,0.86,-0.57,1.20,21.35,"-1.48
"
30311,Pedestrian,0.00,0,-1.57,597.03,160.34,614.70,222.79,1.81,0.90,0.95,0.14,1.20,21.38,"-1.57
"
30312,Pedestrian,0.00,0,-2.85,470.16,150.90,548.49,319.45,1.77,0.85,1.15,-1.19,1.45,8.04,"-3.00
"
30313,Pedestrian,0.04,2,1.91,1163.69,134.67,1232.36,308.90,1.73,0.69,0.56,6.15,1.26,7.57,"2.57
"
30314,Pedestrian,0.00,2,3.05,502.96,163.41,534.96,238.34,1.75,0.87,1.06,-1.93,1.32,17.32,"2.94
"
30315,Pedestrian,0.00,1,-2.71,501.31,168.40,559.64,284.40,1.61,0.62,0.96,-0.98,1.43,10.43,"-2.81
"
30317,Pedestrian,0.00,0,-2.57,897.15,135.86,986.15,299.94,1.78,0.89,1.06,3.89,1.28,8.49,"-2.15
"
30335,Pedestrian,0.00,0,0.38,248.76,146.86,335.67,330.04,1.81,0.77,1.14,-3.33,1.48,7.44,"-0.02
"
30365,Pedestrian,0.29,0,-2.24,942.74,140.66,1095.08,373.00,1.78,0.89,1.06,2.41,1.56,4.53,"-1.78
"
30366,Pedestrian,0.00,0,1.80,515.65,159.45,567.99,300.72,1.79,0.89,1.04,-0.99,1.52,9.68,"1.69
"
30376,Pedestrian,0.00,0,0.14,509.07,171.08,521.73,209.05,1.72,0.74,0.56,-4.37,1.65,33.15,"0.01
"
30395,Pedestrian,0.00,0,-0.40,799.98,159.61,846.56,266.35,1.72,0.55,0.93,3.74,1.39,11.78,"-0.10
"
30396,Pedestrian,0.00,0,-0.45,812.77,165.79,859.17,271.81,1.62,0.48,0.96,3.84,1.40,11.17,"-0.13
"
30451,Pedestrian,0.13,0,-2.20,1107.30,107.09,1223.96,343.27,1.92,0.70,1.35,4.95,1.40,6.56,"-1.57
"
30460,Pedestrian,0.00,0,0.14,548.42,159.96,579.42,223.41,1.83,0.69,1.03,-1.13,1.24,20.86,"0.09
"
30462,Pedestrian,0.00,2,0.26,403.14,158.56,425.85,230.01,1.80,0.61,1.04,-4.91,1.25,18.25,"0.00
"
30464,Pedestrian,0.00,1,0.64,211.94,177.12,233.32,231.61,1.72,0.55,0.93,-12.21,1.62,22.71,"0.15
"
30465,Pedestrian,0.00,0,0.62,205.93,180.54,231.24,233.02,1.62,0.48,0.96,-12.16,1.63,22.20,"0.13
"
30467,Pedestrian,0.00,1,-2.75,277.44,176.09,306.20,230.29,1.60,0.54,0.84,-9.57,1.48,21.35,"3.11
"
30468,Pedestrian,0.00,0,-3.01,247.61,173.03,280.98,239.67,1.80,0.54,1.03,-9.42,1.60,19.62,"2.83
"
30469,Pedestrian,0.00,1,-2.82,362.18,160.69,386.10,228.07,1.95,0.56,0.82,-6.84,1.38,20.83,"-3.13
"
30492,Pedestrian,0.00,2,3.02,285.20,185.44,334.91,280.69,1.61,0.87,1.03,-5.23,1.69,12.91,"2.63
"
30498,Pedestrian,0.00,1,0.34,220.08,193.82,265.78,291.71,1.48,0.92,0.92,-5.91,1.69,11.57,"-0.13
"
30509,Pedestrian,0.00,0,1.50,764.35,124.25,832.62,326.45,1.95,0.63,0.95,1.98,1.41,7.35,"1.75
"
30510,Pedestrian,0.00,0,3.02,942.66,149.64,996.41,292.30,1.78,0.61,0.81,4.74,1.40,9.25,"-2.80
"
30523,Pedestrian,0.26,0,-3.04,276.89,148.24,390.31,373.00,1.82,0.94,1.09,-1.79,1.62,4.90,"2.90
"
30524,Pedestrian,0.72,0,-2.74,0.00,186.10,131.61,373.00,1.64,0.80,0.99,-3.53,1.68,4.24,"2.87
"
30580,Pedestrian,0.00,0,-0.37,589.96,173.11,596.33,193.30,1.72,0.74,0.56,-1.50,1.75,62.02,"-0.40
"
30609,Pedestrian,0.00,1,-0.79,1063.69,141.86,1135.79,296.43,1.85,0.67,1.10,6.21,1.38,8.90,"-0.20
"
30652,Pedestrian,0.00,0,2.08,618.52,162.55,634.86,214.33,1.81,0.58,0.84,0.74,1.18,25.19,"2.11
"
30653,Pedestrian,0.00,0,2.01,601.04,164.72,621.71,215.71,1.77,0.64,0.88,0.15,1.22,25.05,"2.01
"
30749,Pedestrian,0.00,2,-1.74,730.95,165.88,749.13,216.47,1.82,0.69,0.68,4.69,1.57,26.34,"-1.57
"
30751,Pedestrian,0.00,0,0.48,245.51,180.31,278.97,267.79,1.55,0.52,0.50,-6.38,1.69,13.11,"0.03
"
30752,Pedestrian,0.00,0,2.13,130.92,170.05,168.30,245.80,1.85,0.70,0.69,-11.60,1.79,18.07,"1.57
"
30754,Pedestrian,0.00,0,1.81,432.56,166.01,450.09,223.72,1.87,0.72,0.50,-5.66,1.66,23.77,"1.58
"
30793,Pedestrian,0.00,1,-2.96,440.01,166.37,458.49,205.26,1.80,0.54,1.03,-7.22,1.15,33.24,"3.11
"
30827,Pedestrian,0.00,0,0.82,670.09,171.25,686.78,203.86,1.69,0.69,0.83,3.56,1.61,37.88,"0.91
"
30833,Pedestrian,0.00,0,-2.84,621.38,159.45,667.05,263.01,1.73,0.64,1.04,0.74,1.39,12.32,"-2.78
"
30836,Pedestrian,0.00,1,2.64,1021.63,136.98,1066.63,276.70,1.79,0.65,0.59,5.77,1.24,9.44,"-3.11
"
30837,Pedestrian,0.00,1,1.91,1035.17,123.55,1093.84,300.45,1.89,0.61,0.72,5.35,1.28,8.02,"2.48
"
30838,Pedestrian,0.00,2,1.88,1035.72,149.66,1090.69,287.27,1.63,0.40,0.60,5.62,1.27,8.73,"2.43
"
30895,Pedestrian,0.00,0,1.04,960.00,158.64,982.85,221.41,1.74,0.47,0.55,10.15,1.35,20.36,"1.50
"
30897,Pedestrian,0.00,0,2.67,825.34,128.26,917.53,326.51,1.95,0.63,0.95,2.76,1.44,7.35,"3.01
"
30898,Pedestrian,0.00,1,2.41,1032.18,151.92,1089.50,292.30,1.78,0.61,0.81,6.00,1.42,9.37,"2.97
"
30968,Pedestrian,0.13,0,0.59,702.96,138.13,811.39,369.00,1.72,0.49,0.93,1.04,1.44,5.07,"0.79
"
30969,Pedestrian,0.18,0,0.68,606.89,121.80,706.27,369.00,1.79,0.65,0.76,0.44,1.44,4.72,"0.76
"
30970,Pedestrian,0.00,0,-2.86,491.26,153.07,573.21,338.48,1.64,0.56,0.94,-0.69,1.40,6.61,"-2.96
"
30971,Pedestrian,0.00,0,1.24,565.29,144.87,595.07,227.64,1.68,0.45,0.75,-0.55,0.95,14.75,"1.20
"
30972,Pedestrian,0.00,1,1.45,528.31,133.57,548.77,208.50,1.95,0.63,0.74,-1.73,0.73,18.86,"1.36
"
30973,Pedestrian,0.00,1,1.39,560.62,142.44,578.88,207.81,1.71,0.60,0.52,-1.05,0.71,18.82,"1.33
"
30974,Pedestrian,0.00,0,1.27,604.52,145.89,625.63,207.34,1.59,0.46,0.67,0.24,0.69,18.69,"1.29
"
30984,Pedestrian,0.00,0,0.10,428.87,164.73,456.87,264.13,1.87,0.64,0.65,-3.27,1.72,13.93,"-0.13
"
31007,Pedestrian,0.00,2,3.11,623.60,160.86,630.40,180.75,1.80,0.68,1.44,2.03,0.01,64.96,"-3.14
"
31008,Pedestrian,0.00,0,0.24,473.84,167.39,490.25,189.08,1.92,0.57,1.32,-10.97,0.76,63.30,"0.07
"
31021,Pedestrian,0.00,0,-1.38,328.60,159.48,344.60,200.58,1.82,0.78,0.94,-11.88,0.88,31.87,"-1.73
"
31022,Pedestrian,0.00,2,-1.34,434.61,164.11,442.94,194.55,1.76,0.69,1.21,-9.82,0.81,41.70,"-1.57
"
31023,Pedestrian,0.00,1,-1.43,327.00,156.39,337.00,189.00,1.93,0.59,0.70,-16.35,0.50,42.39,"-1.79
"
31027,Pedestrian,0.00,1,-1.24,353.18,154.46,365.52,189.32,2.01,0.76,0.84,-14.40,0.51,41.34,"-1.57
"
31028,Pedestrian,0.00,0,-1.99,343.89,166.64,375.23,247.17,1.63,0.55,1.28,-5.12,1.35,14.95,"-2.31
"
31029,Pedestrian,0.00,0,-2.29,441.03,158.43,475.37,248.81,1.85,0.75,1.04,-3.07,1.40,15.12,"-2.49
"
31032,Pedestrian,0.00,0,1.85,296.27,155.83,311.60,197.33,1.89,0.80,0.50,-13.83,0.77,32.65,"1.45
"
31033,Pedestrian,0.00,0,-2.68,221.12,153.26,231.79,197.15,1.90,0.53,0.35,-16.45,0.72,30.93,"3.12
"
31034,Pedestrian,0.00,1,2.66,967.14,172.44,979.48,209.05,1.80,0.80,0.76,18.39,1.41,35.35,"3.13
"
31080,Pedestrian,0.00,0,-1.87,803.01,154.93,853.77,266.00,1.61,0.91,0.91,3.40,1.23,10.93,"-1.58
"
31083,Pedestrian,0.00,2,-1.69,702.18,153.10,720.21,215.04,1.65,0.88,0.49,2.99,0.89,19.48,"-1.55
"
31103,Pedestrian,0.00,1,1.03,552.91,166.87,567.24,216.78,1.86,0.64,0.84,-1.76,1.64,27.41,"0.97
"
31115,Pedestrian,0.00,0,-1.54,853.66,167.72,872.86,224.04,1.65,0.50,0.50,7.49,1.50,21.43,"-1.21
"
31133,Pedestrian,0.00,0,0.85,669.19,172.30,686.19,205.83,1.69,0.69,0.83,3.46,1.67,36.88,"0.94
"
31156,Pedestrian,0.00,0,1.97,365.33,179.43,378.53,216.92,1.60,0.51,0.87,-10.40,1.89,31.30,"1.65
"
31179,Pedestrian,0.00,0,-1.89,425.66,195.43,459.40,300.67,1.79,0.66,0.94,-3.14,2.21,13.00,"-2.12
"
31180,Pedestrian,0.00,0,0.69,481.78,201.04,513.36,284.41,1.77,0.55,0.79,-2.57,2.40,15.92,"0.53
"
31181,Pedestrian,0.00,1,1.18,487.93,196.68,515.20,280.93,1.86,0.64,0.84,-2.35,2.42,16.67,"1.04
"
31184,Pedestrian,0.46,0,-1.87,0.00,154.38,204.16,373.00,1.76,0.76,1.02,-2.91,1.63,4.05,"-2.47
"
31185,Pedestrian,0.28,0,-1.78,160.85,172.94,252.19,373.00,1.68,0.64,0.91,-2.76,1.63,4.94,"-2.27
"
31186,Pedestrian,0.47,3,-1.53,0.00,171.67,91.40,373.00,1.71,0.68,0.93,-4.21,1.64,5.26,"-2.19
"
31187,Pedestrian,0.00,0,-2.17,296.24,161.10,379.24,346.37,1.80,0.83,0.92,-2.91,1.60,7.58,"-2.53
"
31188,Pedestrian,0.00,1,-1.67,241.17,168.55,308.17,343.26,1.72,0.69,0.88,-3.54,1.59,7.63,"-2.09
"
31191,Pedestrian,0.00,0,1.37,671.48,158.26,694.81,225.08,1.81,1.06,0.73,2.01,1.18,19.93,"1.46
"
31192,Pedestrian,0.00,0,-1.57,527.71,168.98,543.71,215.37,1.73,0.84,0.86,-2.68,1.26,27.37,"-1.67
"
31193,Pedestrian,0.00,0,-1.60,535.63,166.37,551.29,214.71,1.81,0.90,0.95,-2.22,1.24,27.50,"-1.68
"
31218,Pedestrian,0.00,0,-3.01,426.94,159.42,513.28,306.59,1.73,0.50,1.12,-1.72,1.49,8.66,"3.09
"
31323,Pedestrian,0.00,0,0.29,349.00,159.00,411.67,310.60,1.72,0.55,1.10,-2.74,1.48,8.38,"-0.01
"
31324,Pedestrian,0.00,0,0.55,162.03,159.43,230.78,298.85,1.72,0.59,1.20,-5.31,1.47,9.08,"0.03
"
31336,Pedestrian,0.00,2,-1.42,544.92,164.35,562.82,228.03,1.83,0.60,0.39,-1.71,1.59,21.01,"-1.50
"
31345,Pedestrian,0.30,0,-2.01,161.66,158.11,351.41,373.00,1.76,0.76,1.02,-2.33,1.63,4.75,"-2.45
"
31346,Pedestrian,0.14,1,-1.90,275.98,170.65,361.71,373.00,1.68,0.64,0.91,-2.22,1.61,5.71,"-2.26
"
31347,Pedestrian,0.10,0,-1.65,126.73,172.02,202.21,373.00,1.71,0.68,0.93,-3.67,1.63,6.08,"-2.18
"
31348,Pedestrian,0.00,2,-1.38,111.71,176.58,183.16,341.09,1.71,0.80,0.94,-5.36,1.67,8.10,"-1.95
"
31349,Pedestrian,0.00,0,-2.23,372.45,160.83,437.50,327.57,1.80,0.83,0.92,-2.47,1.58,8.36,"-2.52
"
31350,Pedestrian,0.00,1,-1.83,151.36,180.96,211.98,351.38,1.63,0.71,0.88,-4.20,1.63,7.45,"-2.33
"
31351,Pedestrian,0.00,2,-1.75,308.20,167.21,385.80,325.87,1.72,0.69,0.88,-3.01,1.57,8.35,"-2.09
"
31354,Pedestrian,0.00,1,1.38,669.55,158.84,694.04,221.02,1.81,1.06,0.73,2.18,1.15,21.39,"1.47
"
31355,Pedestrian,0.00,0,-1.57,538.76,169.41,552.11,215.15,1.73,0.84,0.86,-2.35,1.27,27.75,"-1.66
"
31356,Pedestrian,0.00,0,-1.65,548.32,166.64,564.25,214.39,1.81,0.90,0.95,-1.86,1.25,27.84,"-1.72
"
31423,Pedestrian,0.00,0,-3.08,524.72,142.67,592.05,302.68,1.87,0.54,1.02,-0.55,1.43,8.58,"-3.14
"
31426,Pedestrian,0.00,0,-1.80,766.76,152.44,808.56,231.74,1.92,0.70,1.35,4.44,1.44,18.24,"-1.57
"
31452,Pedestrian,0.00,0,-1.46,354.75,165.24,384.41,258.67,1.82,0.64,0.58,-4.66,1.51,14.40,"-1.77
"
31453,Pedestrian,0.00,2,1.92,343.69,164.93,380.05,253.31,1.82,0.56,0.51,-5.04,1.48,15.05,"1.59
"
31457,Pedestrian,0.00,2,2.75,522.70,162.25,548.37,230.52,1.79,0.66,0.94,-2.17,1.51,19.40,"2.64
"
31458,Pedestrian,0.00,0,0.61,542.23,168.29,562.90,222.71,1.77,0.55,0.79,-2.02,1.63,23.87,"0.52
"
31459,Pedestrian,0.00,1,1.16,546.00,166.16,563.34,222.29,1.86,0.64,0.84,-1.75,1.64,24.43,"1.09
"
31532,Pedestrian,0.00,0,0.34,346.29,168.70,372.63,255.91,1.72,0.74,0.56,-5.15,1.64,14.64,"0.01
"
31566,Pedestrian,0.00,0,-2.70,933.53,154.49,968.53,224.01,1.86,0.55,1.16,9.74,1.17,19.56,"-2.25
"
31567,Pedestrian,0.00,1,-2.70,949.30,156.60,971.63,224.31,1.84,0.56,1.23,10.32,1.19,19.90,"-2.22
"
31589,Pedestrian,0.00,0,-2.96,439.38,142.48,506.38,302.77,1.87,0.54,1.02,-1.64,1.43,8.56,"-3.14
"
31590,Pedestrian,0.00,0,0.44,321.97,158.50,396.97,307.38,1.69,0.57,0.86,-2.89,1.45,8.36,"0.12
"
31609,Pedestrian,0.00,0,1.96,267.61,163.70,304.92,265.32,1.87,0.72,0.50,-6.18,1.71,13.62,"1.55
"
31611,Pedestrian,0.00,0,2.95,726.68,164.04,747.67,223.12,1.84,0.72,0.50,4.00,1.57,22.90,"3.12
"
31632,Pedestrian,0.00,0,0.40,253.66,143.91,328.35,309.52,1.91,0.64,1.26,-3.85,1.49,8.54,"-0.01
"
31698,Pedestrian,0.00,0,3.12,563.42,154.71,624.42,320.26,1.76,0.45,1.01,-0.09,1.49,7.81,"3.11
"
31702,Pedestrian,0.00,0,-2.81,451.04,179.25,463.05,210.45,1.63,0.40,0.84,-8.10,1.98,38.14,"-3.02
"
31721,Pedestrian,0.00,0,0.27,668.97,145.67,689.64,202.72,1.76,0.53,0.64,2.27,0.69,22.19,"0.37
"
31722,Pedestrian,0.00,1,-0.54,281.55,137.99,318.55,259.80,1.92,0.66,0.67,-5.10,1.25,11.59,"-0.94
"
31723,Pedestrian,0.00,0,1.02,711.20,139.31,769.20,300.21,1.87,0.70,0.73,1.61,1.39,8.69,"1.19
"
31724,Pedestrian,0.00,1,1.09,707.35,134.87,762.01,273.35,1.81,0.57,0.96,1.60,1.21,9.78,"1.25
"
31725,Pedestrian,0.00,0,0.79,645.11,141.76,700.11,299.09,1.82,0.66,0.97,0.98,1.37,8.75,"0.90
"
31726,Pedestrian,0.00,0,1.03,631.38,142.87,688.71,306.34,1.78,0.60,1.15,0.66,1.37,8.35,"1.10
"
31727,Pedestrian,0.00,0,1.36,538.15,141.95,570.82,220.09,1.77,0.66,1.00,-1.18,0.89,16.61,"1.29
"
31728,Pedestrian,0.00,0,1.38,567.58,137.27,597.24,219.33,1.88,0.62,1.00,-0.63,0.89,16.78,"1.35
"
31729,Pedestrian,0.00,1,1.33,531.47,142.18,559.47,214.15,1.81,0.75,0.96,-1.71,0.84,18.35,"1.24
"
31730,Pedestrian,0.00,0,1.45,498.81,144.36,521.81,220.18,1.81,0.82,0.89,-2.36,0.94,17.43,"1.32
"
31731,Pedestrian,0.00,1,1.31,417.23,141.25,444.23,217.10,1.80,0.58,0.92,-4.35,0.87,17.34,"1.07
"
31732,Pedestrian,0.00,1,1.36,450.97,146.67,471.64,213.15,1.62,0.52,0.87,-3.67,0.79,17.75,"1.16
"
31733,Pedestrian,0.00,0,1.31,472.85,138.58,497.18,213.17,1.85,0.55,0.95,-3.11,0.81,18.04,"1.15
"
31752,Pedestrian,0.00,0,1.05,864.63,165.56,880.29,209.05,1.74,0.47,0.55,10.59,1.45,29.26,"1.39
"
31762,Pedestrian,0.73,0,-2.07,1167.66,152.89,1237.00,373.00,1.65,0.88,0.49,4.33,1.46,4.73,"-1.36
"
31763,Pedestrian,0.00,0,-2.02,366.74,159.64,400.28,254.96,1.88,0.69,0.47,-4.57,1.45,14.56,"-2.32
"
31764,Pedestrian,0.00,2,2.10,207.29,159.74,283.80,347.18,1.77,0.67,0.91,-3.73,1.57,7.25,"1.63
"
31765,Pedestrian,0.00,0,2.32,638.04,173.99,668.21,229.44,1.51,1.01,0.97,1.32,1.31,20.30,"2.38
"
31766,Pedestrian,0.00,0,-0.68,515.12,170.13,536.74,236.49,1.66,0.65,0.72,-2.11,1.37,18.44,"-0.80
"
31767,Pedestrian,0.00,0,1.63,566.23,166.94,583.75,220.91,1.72,0.88,0.90,-1.10,1.25,23.40,"1.58
"
31768,Pedestrian,0.00,1,-1.51,628.98,165.04,644.49,214.10,1.77,0.94,0.93,1.26,1.18,26.48,"-1.46
"
31769,Pedestrian,0.00,0,1.60,621.63,168.19,630.95,203.82,1.73,0.67,0.83,1.13,1.08,35.42,"1.63
"
31787,Pedestrian,0.00,0,1.41,710.04,176.74,721.04,207.94,1.74,0.75,0.64,5.94,1.97,40.82,"1.55
"
31800,Pedestrian,0.00,0,-2.06,977.17,148.03,1000.86,213.20,1.80,0.67,0.50,10.75,0.90,19.87,"-1.57
"
31801,Pedestrian,0.68,0,2.52,0.00,113.16,233.39,369.00,1.83,0.55,0.98,-2.23,1.60,2.96,"1.92
"
31802,Pedestrian,0.77,1,2.55,0.00,94.55,150.31,369.00,1.97,0.61,1.00,-2.85,1.61,3.28,"1.88
"
31803,Pedestrian,0.00,0,3.08,717.82,159.31,756.50,252.21,1.73,0.64,1.04,2.49,1.34,13.58,"-3.03
"
31806,Pedestrian,0.00,1,2.60,1036.60,141.95,1080.35,260.04,1.79,0.65,0.59,7.10,1.21,11.11,"-3.13
"
31807,Pedestrian,0.00,1,2.18,1061.80,129.35,1106.37,271.78,1.89,0.61,0.72,6.76,1.21,9.80,"2.78
"
31808,Pedestrian,0.00,2,2.56,1052.78,151.10,1084.85,263.31,1.63,0.40,0.60,7.00,1.21,10.53,"3.14
"
31854,Pedestrian,0.03,0,0.60,20.18,148.40,112.51,332.44,1.82,0.66,0.94,-5.63,1.51,7.39,"-0.03
"
31864,Pedestrian,0.00,0,0.48,86.69,146.24,174.35,315.57,1.89,0.48,1.20,-5.64,1.51,8.23,"-0.10
"
31915,Pedestrian,0.00,0,0.77,673.24,167.79,685.58,203.25,1.69,0.69,0.83,3.24,1.45,34.87,"0.86
"
31981,Pedestrian,0.00,0,-0.28,558.35,171.36,567.12,197.23,1.72,0.74,0.56,-3.19,1.63,48.48,"-0.35
"
31987,Pedestrian,0.00,0,-2.02,252.55,155.32,299.88,285.81,1.88,0.69,0.47,-4.90,1.50,10.75,"-2.44
"
31988,Pedestrian,0.00,0,2.30,576.86,176.07,620.19,248.22,1.51,1.01,0.97,-0.27,1.40,15.76,"2.28
"
31989,Pedestrian,0.00,0,0.95,471.19,170.57,501.86,250.52,1.66,0.65,0.72,-2.63,1.43,15.39,"0.78
"
31990,Pedestrian,0.00,0,1.48,542.54,167.53,567.21,233.34,1.72,0.88,0.90,-1.49,1.35,19.32,"1.40
"
31991,Pedestrian,0.00,0,-1.55,622.54,165.84,639.54,220.74,1.77,0.94,0.93,0.71,1.27,23.72,"-1.53
"
31992,Pedestrian,0.00,0,1.66,603.23,168.36,614.57,209.75,1.73,0.67,0.83,0.29,1.18,30.54,"1.66
"
32005,Pedestrian,0.00,0,2.78,824.31,144.97,878.31,291.45,1.86,0.51,0.87,3.24,1.41,9.31,"3.10
"
32018,Pedestrian,0.00,1,-3.07,586.03,170.02,600.94,195.47,1.80,0.68,1.44,-0.76,1.06,50.82,"-3.09
"
32019,Pedestrian,0.00,1,0.26,459.22,171.92,473.54,199.76,1.92,0.57,1.32,-9.71,1.33,49.38,"0.07
"
32029,Pedestrian,0.40,0,-0.88,1177.65,131.01,1223.00,230.64,1.72,0.55,0.93,10.81,0.86,12.57,"-0.18
"
32030,Pedestrian,1.00,0,-0.86,1222.89,140.42,1223.00,153.94,1.62,0.48,0.96,10.96,0.94,11.81,"-0.13
"
32037,Pedestrian,0.00,0,1.08,742.38,167.83,748.38,198.47,1.74,0.47,0.55,7.48,1.46,41.40,"1.26
"
32099,Pedestrian,0.00,0,0.30,401.41,157.86,445.08,309.14,1.75,0.52,0.99,-2.23,1.49,8.47,"0.05
"
32109,Pedestrian,0.00,0,-0.04,605.25,184.81,621.25,222.30,1.79,0.75,0.85,0.39,2.01,34.54,"-0.03
"
32110,Pedestrian,0.00,1,1.55,56.84,177.54,75.34,240.19,1.96,0.69,0.50,-17.11,1.87,22.57,"0.91
"
32111,Pedestrian,0.00,1,-1.87,76.81,182.48,97.48,236.44,1.65,0.58,0.80,-16.28,1.72,22.21,"-2.50
"
32113,Pedestrian,0.00,1,2.92,234.49,181.45,256.49,237.36,1.85,0.74,0.82,-12.06,1.89,24.04,"2.47
"
32114,Pedestrian,0.00,1,2.94,228.07,184.57,246.07,232.33,1.61,0.73,0.84,-12.90,1.76,24.62,"2.47
"
32115,Pedestrian,0.00,1,0.08,537.77,176.64,556.11,219.74,1.77,0.73,0.70,-2.44,1.61,29.52,"-0.00
"
32116,Pedestrian,0.00,1,-3.10,565.40,184.94,583.73,227.97,1.76,0.77,0.87,-1.27,1.96,29.63,"3.14
"
32120,Pedestrian,0.00,0,-2.56,980.45,154.71,1010.94,221.48,1.86,0.55,1.16,11.49,1.14,20.36,"-2.05
"
32121,Pedestrian,0.00,2,-2.59,992.58,154.40,1016.20,219.78,1.84,0.56,1.23,12.09,1.11,20.60,"-2.07
"
32145,Pedestrian,0.00,2,2.95,350.33,181.28,388.33,267.57,1.61,0.87,1.03,-4.64,1.62,14.14,"2.63
"
32151,Pedestrian,0.00,0,0.34,233.28,192.82,268.95,281.78,1.48,0.92,0.92,-6.27,1.69,12.67,"-0.12
"
32173,Pedestrian,0.00,0,-1.52,543.64,154.01,602.12,306.59,1.76,0.66,1.01,-0.42,1.45,8.67,"-1.57
"
32174,Pedestrian,0.00,1,2.48,972.54,137.35,1064.87,318.81,1.89,0.57,0.86,4.45,1.44,7.74,"2.99
"
32182,Pedestrian,0.00,1,2.56,994.72,146.46,1089.72,315.81,1.77,0.66,1.02,4.71,1.41,7.78,"3.09
"
32209,Pedestrian,0.00,0,-2.21,453.61,180.52,482.90,246.81,1.58,0.67,0.87,-3.48,1.78,17.79,"-2.40
"
32210,Pedestrian,0.00,0,1.77,335.06,167.52,385.57,293.26,1.70,0.70,0.69,-3.58,1.63,10.17,"1.44
"
32211,Pedestrian,0.00,0,1.51,423.66,173.43,456.03,268.70,1.67,0.62,0.95,-3.24,1.69,13.25,"1.27
"
32212,Pedestrian,0.00,0,1.38,708.91,166.16,734.39,243.09,1.92,0.64,1.08,2.86,1.76,18.61,"1.53
"
32213,Pedestrian,0.00,0,1.31,728.57,168.25,755.02,241.14,1.83,0.77,1.01,3.43,1.72,18.68,"1.49
"
32233,Pedestrian,0.00,0,0.06,458.87,171.66,483.54,253.71,1.87,0.64,0.65,-3.23,1.85,16.81,"-0.13
"
